"","newspapername","newstitle"
"1","뉴스엔","장윤정 ""지난해 남편과 이혼→두 아이 양육, 오랜 고민 끝 결정""(공식입장 전문)"
"2","노컷뉴스","유역비 中 공개 지지에 '뮬란' 보이콧 운동"
"3","노컷뉴스","고유정 피해자 동생 ""과도한 성관계 요구? 되레 형이 맞았다"""
"4","뉴스1","1학년 마치고 군대갔다고 ""불량품..자퇴하고 공장 가"" 폭언교수"
"5","오마이뉴스","'저유소 화재' 풍등 날린 외국인 노동자 ""한국은 내게 좋은 나라"""
"6","뉴스1","'깜빡이 안켠다' 항의에 무차별 폭행한 운전자, 1심 실형"
"7","세계일보","그린피스 숀 버니 ""日, 원전 오염수 저장 부지 부족으로 방류? 설득력 떨어져"""
"8","연합뉴스","北, 잇단 발사에 文대통령 향해 '막말'까지..남북관계 더 '막막'"
"9","연합뉴스","'몸통 시신 사건' 한강수색 중 팔 발견..신원 확인 기대(종합)"
"10","연합뉴스","직장후배 성폭행하고도 경찰에 무고로 고소한 '나쁜 상사'"
"11","스포티비뉴스","푸이그 평생 연봉 20%..망명 도운 은인 '평생 연금'"
"12","뉴시스","트럼프 ""그린란드 매입하고 싶다""..보좌관들과 논의"
"13","스포티비뉴스","[단독]최민환-율희 부부, 둘째 임신..1년만에 다시 찾아온 '경사'"
"14","엔터미디어","'해투4' 노골적인 출연진 차별, 시청자가 민망할 지경이라니"
"15","연합뉴스","""서울반도체서 방사선 피폭사고..피폭의심 6명 중 2명 이상증상"""
"16","스포츠투데이","'아침마당' 조영구 ""아내와 각방 6년차, 점점 사이 멀어져"" [TV캡처]"
"17","뉴시스","정부, 폐타이어 등 일본산 재활용 폐기물 3종도 통관절차 강화(종합)"
"18","뉴스1","카니발 난폭운전 빨간모자, 자녀들 앞 아빠 폭행..시민 공분"
"19","연합뉴스","불도그 배 속에서 고무 오리 인형 무려 32개 나와"
"20","서울신문","'바나나 위기론' 또 다시..치명적 곰팡이, 남미에서 첫 발견"
"21","연합뉴스","日화답·北美대화·청문회..文대통령 '포스트 8·15' 정국 구상"
"22","조선비즈","감시 카메라 피하는 셔츠<U+22C5>치마<U+22C5>마스크..인식 오류 유발"
"23","연합뉴스","강정호, 밀워키와 마이너 계약했나..트리플A팀 훈련 포착"
"24","인터풋볼","'호날두가 왜? 멍청한 결정' UEFA 올해의 선수 후보 선정에 팬들 반발"
"25","중앙일보","""한국산 아니었어?""..'짝퉁 한류' 제품, 해외서 빠르게 확산"
"26","엔터미디어","'뽕따러가세' 식기는커녕 더 뜨거워지는 송가인 신드롬의 실체"
"27","뉴스1","황교안 ""文대통령, '겁먹은 개' 소리 들으면서 北에 굴종적"""
"28","아시아경제","가족 3교대 24시간 근무..'주 52시간'이 뭔가요"
"29","중앙일보","""일본, 삼성에 이러면 안돼..소재는 같이 크는 것"""
"30","뉴스엔","'고교급식왕' 백종원 ""연봉 얼마예요?"" 예산고 학생들 질문에 진땀"
"31","연합뉴스","""왜 비데 없나""..태국 하원의장 화장실 둘러보게 한 '촌극'"
"32","연합뉴스","'국가 보안시설' 고리원전 주변에 잇단 드론 추정 물체"
"33","연합뉴스","비쩍마른 코끼리 축제에 동원..스리랑카서 동물학대 논란"
"34","문화일보","실격 처리된 '동료애'.. 국제연맹 ""물리적 도움은 실격"""
"35","YTN","한일갈등 국면 국제법 학자 이장희 ""일제 강점 36년, 불법 아니었다는 전제로.."""
"36","중앙일보","하버드대 한국학생, 입기만 하면 걷고 뛰기 도와주는 초경량 엑소수트 개발"
"37","서울신문","[핵잼 사이언스] 사람만한 덩치..키 160cm 고대 자이언트 펭귄 발견"
"38","연합뉴스","中 애국주의 열풍에 오성홍기 명품백 매진..1억5천만원 호가"
"39","엑스포츠뉴스","""경솔한 태도 반성"" 강한나·오혜원, '비매너 관람' 사과→손석구 '묵묵부답' [종합]"
"40","연합뉴스","한선교 ""올해 일본해 단독표기→동해 병기 시정률 6.6% 불과"""
"41","스포티비뉴스","박슬기, 임신 18주 ""결혼 4년만에 만난 아기천사..태명은 방탄공기""[종합]"
"42","스타투데이","'삼시세끼 산촌편' 정우성, 감자 캐기→장작 패기 '대활약+잔소리꾼 등극'"
"43","오마이뉴스","일본 역사교과서 속 위안부.. 한국인들 이상한 사람 됐다"
"44","경향신문","호스에 목감겨 숨진 조선소 하청노동자, 자살 누명 벗고 산재 인정"
"45","스포티비뉴스","'우리형' 메시, 부상 복귀 전력..모래에서 회복 훈련"
"46","뉴스1","日 방위성 지도 '오류 투성이'..평양도 엉뚱한 곳에"
"47","노컷뉴스","제주 쓰레기 대란..고희범 시장 ""반입 막지 말아달라"" 주민에 '읍소'"
"48","MK스포츠","다저스, 마이애미에 시즌 최다 실점 타이 기록 허용하며 패배"
"49","중앙일보","돌체앤가바나도 쫓겨났다..韓불매보다 무서운 中국민정서법"
"50","연합뉴스","안규백 ""우리에겐 미사일 공격막는 고도별 요격 무기체계 있다"""
